age_A,age_B,height_A,height_B,reach_A,reach_B,stance_A,stance_B,weight_A,weight_B,won_A,won_B,lost_A,lost_B,drawn_A,drawn_B,kos_A,kos_B,result,decision,judge1_A,judge1_B,judge2_A,judge2_B,judge3_A,judge3_B
32,31,178,,178,,orthodox,orthodox,153,151,24,18,0,0,0,0,19,11,win_A,TKO,79,69,78,70,77,71
32,35,178,178,178,180,orthodox,orthodox,,154,23,23,0,8,0,0,19,13,win_A,UD,,,,,,
32,38,178,,178,,orthodox,orthodox,,,22,16,0,3,0,0,18,9,win_A,KO,,,,,,
32,26,178,,178,,orthodox,orthodox,150,,21,34,0,2,0,0,18,28,win_A,UD,116,112,116,112,117,111
31,28,178,178,178,188,orthodox,orthodox,,,20,18,0,3,0,1,17,17,win_A,TKO,,,,,,
31,31,178,175,178,,orthodox,orthodox,,154,19,15,0,7,0,0,16,8,win_A,KO,,,,,,
30,31,178,,178,,orthodox,orthodox,153,153,18,11,0,6,0,1,15,9,win_A,TKO,,,,,,
29,26,178,175,178,,orthodox,orthodox,153,,17,32,0,9,0,1,14,26,win_A,KO,,,,,,
29,27,178,,178,,orthodox,orthodox,,,16,29,0,2,0,0,13,21,win_A,RTD,,,,,,
29,32,178,175,178,,orthodox,orthodox,,155,15,17,0,11,0,0,13,15,win_A,DQ,50,45,49,45,49,45
29,34,178,176,178,,orthodox,orthodox,153,154,14,28,0,11,0,2,12,20,win_A,KO,,,,,,
29,27,178,,178,,orthodox,orthodox,154,157,13,10,0,8,0,0,11,6,win_A,RTD,,,,,,
28,,178,,178,,orthodox,orthodox,150,150,12,3,0,14,0,2,10,3,win_A,RTD,10,9,10,9,10,9
28,26,178,169,178,175,orthodox,orthodox,149,151,11,15,0,8,0,3,10,11,win_A,UD,,79,90,,90,78
28,38,178,,178,,orthodox,orthodox,153,154,10,24,0,14,0,2,9,13,win_A,KO,,,,,,
28,34,178,,178,,orthodox,orthodox,,,9,5,0,5,0,0,8,4,win_A,TKO,,,,,,
28,37,178,170,178,,orthodox,orthodox,154,151,8,2,0,58,0,0,8,0,win_A,DQ,20,18,20,18,20,18
28,33,178,168,178,183,orthodox,orthodox,154,154,7,39,0,8,0,2,7,24,win_A,KO,10,8,10,8,10,8
28,35,178,178,178,,orthodox,orthodox,154,154,6,9,0,10,0,0,6,3,win_A,TKO,,,,,,
28,,178,,178,,orthodox,orthodox,154,155,5,0,0,12,0,0,5,0,win_A,KO,,,,,,
28,,178,,178,,orthodox,orthodox,154,155,4,3,0,11,0,1,4,3,win_A,RTD,30,27,30,27,30,27
28,,178,,178,,orthodox,orthodox,,161,3,0,0,14,0,0,3,0,win_A,TKO,10,8,10,8,10,8
28,,178,,178,,orthodox,orthodox,153,156,2,0,0,9,0,1,2,0,win_A,TKO,10,9,10,9,10,9
28,34,178,,178,,orthodox,orthodox,,163,1,2,0,13,0,2,1,0,win_A,TKO,20,18,20,18,20,18
28,,178,,178,,orthodox,orthodox,155,156,0,1,0,25,0,1,0,1,win_A,KO,20,18,20,18,20,18
28,28,,,,,southpaw,southpaw,,,32,21,3,1,2,0,22,13,win_A,KO,,,,,,
28,30,,175,,178,southpaw,southpaw,,,31,28,3,7,2,0,21,23,win_A,TKO,,,,,,
27,28,,,,,southpaw,southpaw,,,30,20,3,5,2,1,20,4,win_A,TKO,,,,,,
27,35,,,,,southpaw,southpaw,,,29,25,3,29,2,4,20,1,win_A,UD,60,,60,52,60,52
26,34,,174,,,southpaw,southpaw,,,28,20,3,3,2,2,19,17,win_A,TKO,,,,,,
26,33,,,,,southpaw,southpaw,,,27,17,3,7,2,0,18,13,win_A,RTD,,,,,,
26,28,,168,,,southpaw,southpaw,,,26,19,3,13,2,2,18,11,win_A,UD,99,,99,94,99,96
25,29,,,,180,southpaw,southpaw,,145,25,15,3,0,2,0,17,12,win_A,KO,,,,,,
25,31,,173,,163,southpaw,southpaw,,,24,22,3,14,2,0,17,17,win_A,UD,,,,,,
27,24,168,,,,orthodox,orthodox,,,15,24,9,2,2,2,9,17,win_A,UD,97,93,97,96,98,
24,27,,168,,,southpaw,southpaw,,144,23,14,2,8,2,2,17,8,win_A,UD,118,110,118,110,118,110
24,34,,168,,,southpaw,southpaw,,,22,26,2,20,2,4,16,5,win_A,TKO,,,,,,
24,28,,,,,southpaw,southpaw,,,21,11,2,1,2,0,16,6,win_A,UD,59,54,,56,59,54
23,30,,,,,southpaw,southpaw,,,20,7,2,26,2,3,15,0,win_A,KO,,,,,,
23,24,,,,,southpaw,southpaw,146,,19,12,2,10,2,0,15,6,win_A,UD,,,79,,,
23,25,,,,,southpaw,southpaw,,,18,17,2,2,2,0,14,11,win_A,KO,,,,,,
23,33,,,,,southpaw,southpaw,145,150,17,8,2,7,2,0,14,2,win_A,UD,,,,,,
22,29,,,,,southpaw,southpaw,,,16,10,2,8,2,2,13,3,win_A,KO,,,,,,
22,29,,,,,southpaw,southpaw,,146,15,8,2,4,2,1,12,2,win_A,TKO,,,,,,
22,25,,,,,southpaw,southpaw,139,,14,5,2,11,2,1,12,1,win_A,UD,,,,,,
